threads,100 pictures,200 pictures,300 pictures,400 pictures,500 pictures
threads 2,33.4212532043457,60.85953640937805,92.83716773986816,124.66876339912415,152.57535552978516
threads 4,26.85218381881714,52.095787525177,73.58362770080566,103.69758725166321,113.3226854801178
threads 6,21.491934299468994,42.797452449798584,67.15287518501282,88.81572961807251,111.95901274681091
threads 8,22.379467964172363,47.98105335235596,69.80308103561401,95.58937120437622,118.27329969406128
threads 10,24.64231538772583,49.44753098487854,74.39561533927917,98.61564111709595,123.30588960647583
threads 12,23.746902465820312,48.03904128074646,74.20402884483337,98.0136559009552,121.61238741874695
